Mason,111,2020-4,4/9/2020,22724,12,60,11.2,POINT (-57.75 -41.75)
Mason,111,2020-5,4/16/2020,18980,12,60,12.5,POINT (-57.25 -41.25)
Mason,111,2020-5,4/17/2020,23010,12,60,13,POINT (-57.25 -41.25)
Mason,111,2020-5,4/18/2020,23010,12,60,12.7,POINT (-57.25 -41.25)
Mason,111,2020-5,4/19/2020,27155,12,60,12.7,POINT (-57.25 -41.25)
Mason,111,2020-5,4/20/2020,29146,12,60,13.4,POINT (-57.25 -41.25)
Mason,111,2020-5,4/21/2020,27378,12,60,13.7,POINT (-57.25 -40.75)
Mason,111,2020-5,4/22/2020,2704,12,60,13.7,POINT (-57.25 -40.75)
Mason,111,2020-5,4/23/2020,16536,12,60,13.4,POINT (-56.25 -41.25)
Mason,111,2020-5,4/24/2020,33176,12,60,13.5,POINT (-56.25 -40.25)
Mason,111,2020-5,4/25/2020,11908,12,60,13.2,POINT (-56.25 -40.25)
Mason,111,2020-5,4/26/2020,9100,12,60,13,POINT (-56.25 -40.25)
Mason,111,2020-5,4/27/2020,21788,12,60,13.3,POINT (-56.25 -39.75)
Mason,111,2020-5,4/28/2020,27378,12,60,13.1,POINT (-56.25 -40.25)
Mason,111,2020-5,5/2/2020,4420,12,60,14.8,POINT (-56.25 -39.75)
Mason,111,2020-5,5/3/2020,2184,12,60,11.2,POINT (-56.25 -39.75)
Mason,111,2020-5,5/4/2020,19604,12,60,10.2,POINT (-56.25 -39.75)
Mason,111,2020-5,5/5/2020,1248,12,60,10.4,POINT (-56.25 -39.75)
Mason,111,2020-6,5/12/2020,28756,12,60,9.5,POINT (-58.25 -42.25)
Mason,111,2020-6,5/13/2020,260,0,60,9.3,POINT (-58.25 -41.75)
Mason,111,2020-6,5/14/2020,17108,0,60,10.7,POINT (-58.25 -42.25)
Mason,111,2020-6,5/15/2020,468,0,60,10.7,POINT (-58.25 -41.75)
Mason,111,2020-6,5/20/2020,1560,0,60,9.5,POINT (-58.25 -42.25)
Mason,111,2020-6,5/21/2020,3484,0,60,8.9,POINT (-58.75 -42.25)
Mason,111,2020-6,5/25/2020,208,0,60,9,POINT (-59.25 -42.75)
Mason,111,2020-6,5/28/2020,208,0,60,12.7,POINT (-59.75 -41.75)
Mason,111,2020-6,5/29/2020,14092,0,60,12.7,POINT (-59.75 -42.25)
Mason,111,2020-6,5/30/2020,22490,0,60,11.9,POINT (-59.75 -42.25)
Mason,111,2020-6,5/31/2020,22646,0,60,11.4,POINT (-59.75 -42.25)
Mason,111,2020-6,6/1/2020,25922,0,60,11,POINT (-59.75 -42.25)
Mason,111,2020-6,6/2/2020,7462,0,60,10.9,POINT (-59.75 -42.75)
Mason,111,2020-7,6/7/2020,1014,12,60,11,POINT (-60.25 -42.75)
Mason,111,2020-7,6/8/2020,884,12,60,11.6,POINT (-60.25 -42.75)
Mason,111,2020-7,6/9/2020,16484,12,60,10.4,POINT (-59.75 -42.75)
Mason,111,2020-7,6/10/2020,1248,12,60,10.4,POINT (-59.75 -42.75)
Mason,111,2020-7,6/11/2020,8086,12,60,9.5,POINT (-59.75 -42.75)
Mason,111,2020-7,6/12/2020,17498,12,60,10.5,POINT (-60.25 -42.75)
Mason,111,2020-7,6/14/2020,3788,12,60,9.6,POINT (-60.25 -42.75)
Mason,111,2020-7,6/15/2020,12740,12,60,10,POINT (-60.25 -42.75)
Mason,111,2020-7,6/16/2020,13702,12,60,9.8,POINT (-60.25 -42.75)
Mason,111,2020-7,6/17/2020,2366,12,60,10.5,POINT (-60.25 -42.75)
Mason,111,2020-7,6/18/2020,26166,12,60,11.1,POINT (-59.25 -41.75)
Mason,111,2020-7,6/19/2020,10686,12,60,11.2,POINT (-59.25 -41.75)
Mason,111,2020-7,6/20/2020,18408,12,60,11.6,POINT (-59.25 -41.75)
Mason,111,2020-7,6/21/2020,25386,12,60,11.3,POINT (-59.25 -41.75)
Mason,111,2020-7,6/22/2020,21268,12,60,10.9,POINT (-59.25 -41.75)
Mason,111,2020-7,6/23/2020,8554,12,60,11,POINT (-59.25 -41.75)
Mason,111,2020-7,6/24/2020,2808,12,60,10.8,POINT (-59.75 -41.75)
Mason,111,2020-7,6/25/2020,6916,12,60,9.7,POINT (-59.25 -41.75)
Mason,111,2020-7,6/26/2020,7306,12,60,10.4,POINT (-59.25 -41.75)
Rey,112,2020-1,1/11/2020,45190,12,108,13.9,POINT (-62.25 -44.75)
Rey,112,2020-1,1/12/2020,30885,12,108,14.1,POINT (-62.25 -45.75)
Rey,112,2020-1,1/13/2020,8081,12,108,14.5,POINT (-61.75 -45.75)
Rey,112,2020-1,1/14/2020,7565,12,108,14.7,POINT (-61.75 -44.75)
Rey,112,2020-1,1/17/2020,11070,12,108,13.5,POINT (-61.75 -44.75)
Rey,112,2020-1,1/18/2020,24846,12,108,14.2,POINT (-63.25 -45.25)
Rey,112,2020-1,1/19/2020,50676,12,108,14.8,POINT (-63.75 -44.75)
Rey,112,2020-1,1/20/2020,44329,12,108,14.9,POINT (-63.75 -44.75)
Rey,112,2020-1,1/21/2020,50196,12,108,15.4,POINT (-63.75 -44.75)
Rey,112,2020-1,1/22/2020,6298,12,108,16.1,POINT (-64.75 -44.75)
Rey,112,2020-1,1/23/2020,13173,12,108,15.8,POINT (-63.25 -44.75)
Rey,112,2020-1,1/25/2020,32472,12,108,14.5,POINT (-62.25 -45.25)
Rey,112,2020-1,1/26/2020,34871,12,108,14.1,POINT (-62.25 -45.75)
Rey,112,2020-1,1/27/2020,13407,12,108,14.3,POINT (-62.75 -45.75)
Rey,112,2020-1,1/28/2020,26039,12,108,14.7,POINT (-63.75 -45.75)
Rey,112,2020-1,1/29/2020,12300,12,108,14.6,POINT (-62.75 -45.25)
Rey,112,2020-1,1/30/2020,13530,12,108,14.5,POINT (-62.75 -45.25)
Rey,112,2020-1,1/24/2020,14784,12,108,14.9,POINT (-62.25 -44.75)
Rey,112,2020-2,2/3/2020,50184,12,108,14.4,POINT (-62.25 -45.25)
Rey,112,2020-2,2/4/2020,50184,12,108,14.8,POINT (-62.25 -45.25)
Rey,112,2020-2,2/5/2020,25092,12,108,15.1,POINT (-62.25 -45.25)
Rey,112,2020-2,2/6/2020,21279,12,108,15.3,POINT (-62.25 -45.25)
Rey,112,2020-2,2/8/2020,31365,12,108,15.3,POINT (-62.75 -45.25)
Rey,112,2020-2,2/9/2020,56519,12,108,15.3,POINT (-62.25 -45.25)
Rey,112,2020-2,2/10/2020,12239,12,108,15.3,POINT (-62.25 -45.25)
Rey,112,2020-2,2/11/2020,20910,12,108,15.2,POINT (-62.25 -45.75)
Rey,112,2020-2,2/12/2020,38868,12,108,15.6,POINT (-62.25 -45.25)
Rey,112,2020-2,2/13/2020,24723,12,108,15.9,POINT (-62.25 -45.25)
Rey,112,2020-2,2/14/2020,27306,12,108,15.3,POINT (-62.25 -45.75)
Rey,112,2020-2,2/15/2020,40123,12,108,15.5,POINT (-62.25 -45.75)
Rey,112,2020-2,2/16/2020,30074,12,108,15.5,POINT (-62.25 -45.75)
Rey,112,2020-2,2/18/2020,40258,12,108,15.3,POINT (-62.25 -45.75)
Rey,112,2020-3,2/22/2020,17503,12,108,14.9,POINT (-62.75 -45.25)
Rey,112,2020-3,2/23/2020,10763,12,108,14.8,POINT (-62.25 -45.75)
Rey,112,2020-3,2/24/2020,28905,12,108,14.9,POINT (-62.25 -45.75)
Rey,112,2020-3,2/25/2020,9225,12,108,14.8,POINT (-62.25 -45.75)
Rey,112,2020-3,2/26/2020,8487,12,108,15.1,POINT (-62.75 -45.75)
Rey,112,2020-3,2/27/2020,16728,12,108,15,POINT (-62.25 -45.75)
Rey,112,2020-3,2/28/2020,18462,12,108,14.7,POINT (-62.25 -45.75)
Rey,112,2020-3,2/29/2020,4428,12,108,15.3,POINT (-62.25 -45.75)
Rey,112,2020-3,3/1/2020,4920,12,108,15.3,POINT (-62.25 -45.75)
Rey,112,2020-3,3/2/2020,15806,12,108,13.2,POINT (-60.75 -46.75)
Rey,112,2020-3,3/3/2020,24231,12,108,13.6,POINT (-60.75 -47.25)
Rey,112,2020-3,3/4/2020,21595,12,108,13.5,POINT (-60.75 -47.25)
Rey,112,2020-3,3/5/2020,16728,12,108,12.6,POINT (-60.75 -47.25)
Rey,112,2020-3,3/6/2020,52398,12,108,12.9,POINT (-60.75 -47.25)
Rey,112,2020-3,3/9/2020,8512,12,108,12.4,POINT (-60.75 -47.25)
Rey,112,2020-3,3/10/2020,7995,12,108,12.4,POINT (-60.75 -47.25)
Rey,112,2020-3,3/11/2020,3075,12,108,12.4,POINT (-60.75 -47.25)
Rey,112,2020-3,3/12/2020,11562,12,108,12.6,POINT (-60.75 -47.75)
Rey,112,2020-3,3/13/2020,7134,12,108,12.6,POINT (-60.75 -47.75)
Rey,112,2020-3,3/14/2020,12054,12,108,12.4,POINT (-60.75 -47.75)
Rey,112,2020-3,3/16/2020,4305,12,108,12.5,POINT (-60.75 -47.75)
Rey,112,2020-3,3/17/2020,13161,12,108,12.5,POINT (-60.75 -47.25)
Rey,112,2020-3,3/18/2020,9225,12,108,12.1,POINT (-60.75 -47.25)
Rey,112,2020-3,3/19/2020,1328,12,108,12.4,POINT (-60.75 -47.25)
Rey,112,2020-3,3/20/2020,15621,12,108,11.6,POINT (-60.75 -47.25)
Rey,112,2020-3,3/21/2020,1107,12,108,12.6,POINT (-60.75 -47.25)
Rey,112,2020-3,3/22/2020,3321,12,108,12.5,POINT (-60.75 -47.25)
Rey,112,2020-3,3/23/2020,861,12,108,12.3,POINT (-60.75 -47.25)
Rey,112,2020-3,3/24/2020,197,12,108,12.2,POINT (-60.75 -47.75)
Rey,112,2020-3,3/28/2020,70110,12,108,13.6,POINT (-59.75 -44.25)
Rey,112,2020-3,3/29/2020,23985,12,108,13.1,POINT (-59.75 -44.25)
Rey,112,2020-3,3/30/2020,21525,12,108,13.2,POINT (-59.75 -43.75)
Rey,112,2020-3,3/31/2020,8364,12,108,13.4,POINT (-59.75 -43.75)
Rey,112,2020-3,4/1/2020,7872,12,108,13.4,POINT (-59.75 -43.75)
Rey,112,2020-3,4/3/2020,75276,12,108,12.3,POINT (-58.75 -42.75)
Rey,112,2020-3,4/4/2020,13346,12,108,12.9,POINT (-58.75 -42.75)
Rey,112,2020-4,4/12/2020,32182,12,108,12.7,POINT (-57.75 -41.75)
Rey,112,2020-4,4/13/2020,65229,12,108,12.5,POINT (-57.75 -41.75)
Rey,112,2020-4,4/14/2020,57088,12,108,13,POINT (-57.75 -41.75)
Rey,112,2020-4,4/15/2020,3298,12,108,12.6,POINT (-57.75 -41.75)
Rey,112,2020-4,4/16/2020,52224,12,108,13.3,POINT (-57.25 -41.25)
Rey,112,2020-4,4/17/2020,10113,12,108,13.2,POINT (-57.25 -41.25)
Rey,112,2020-4,4/18/2020,23497,12,108,12.8,POINT (-57.25 -41.25)
Rey,112,2020-4,4/19/2020,66703,12,108,12.9,POINT (-56.75 -40.75)
Rey,112,2020-4,4/20/2020,52493,12,108,13.2,POINT (-56.75 -40.75)
Rey,112,2020-4,4/21/2020,45429,12,108,13.1,POINT (-56.75 -40.75)
Rey,112,2020-4,4/22/2020,21888,12,108,13,POINT (-56.75 -40.75)
Rey,112,2020-4,4/23/2020,25500,12,108,13.5,POINT (-56.75 -40.75)
Rey,112,2020-4,4/24/2020,20967,12,108,13.8,POINT (-56.75 -40.75)
Rey,112,2020-4,4/25/2020,25500,12,108,13.2,POINT (-56.25 -40.25)
Rey,112,2020-4,4/26/2020,7140,12,108,13.5,POINT (-56.25 -40.25)
Rey,112,2020-4,4/27/2020,4359,12,108,12.3,POINT (-56.75 -40.75)
Rey,112,2020-5,5/3/2020,9102,12,108,9.5,POINT (-56.75 -40.75)
Rey,112,2020-5,5/4/2020,18696,12,108,10.5,POINT (-56.75 -40.75)
Rey,112,2020-5,5/5/2020,7749,12,108,11.5,POINT (-56.75 -40.75)
Rey,112,2020-5,5/6/2020,18339,12,108,10.1,POINT (-56.75 -40.75)
Rey,112,2020-5,5/7/2020,6150,12,108,9.8,POINT (-56.75 -40.75)
Rey,112,2020-5,5/8/2020,5843,12,108,9.9,POINT (-56.75 -40.75)
Rey,112,2020-5,5/9/2020,19741,12,108,10.3,POINT (-57.25 -41.25)
Rey,112,2020-5,5/10/2020,5720,12,108,10.9,POINT (-57.25 -41.25)
Rey,112,2020-5,5/11/2020,3641,12,108,10.1,POINT (-57.25 -41.25)
Rey,112,2020-5,5/12/2020,26777,12,108,10.7,POINT (-58.25 -42.25)
Rey,112,2020-5,5/13/2020,8733,12,108,9.5,POINT (-58.25 -42.25)
Rey,112,2020-5,5/14/2020,37638,12,108,9.5,POINT (-58.25 -42.25)
Rey,112,2020-5,5/15/2020,11193,12,108,9.6,POINT (-58.25 -42.25)
Rey,112,2020-5,5/16/2020,14563,12,108,9.6,POINT (-58.75 -42.25)
Rey,112,2020-5,5/17/2020,7478,12,108,9.3,POINT (-58.75 -42.25)
Rey,112,2020-5,5/18/2020,37380,12,108,9.6,POINT (-58.75 -42.25)
Rey,112,2020-5,5/19/2020,2645,12,108,9.8,POINT (-58.75 -42.25)
Rey,112,2020-5,5/20/2020,6839,12,108,9.1,POINT (-58.75 -42.75)
Rey,112,2020-5,5/21/2020,5264,12,108,9.2,POINT (-58.75 -42.75)
Rey,112,2020-5,5/22/2020,16138,12,108,9.4,POINT (-59.25 -42.75)
Rey,112,2020-5,5/23/2020,5018,12,108,9.8,POINT (-58.75 -42.75)
Rey,112,2020-5,5/26/2020,3567,12,108,9.4,POINT (-58.75 -42.75)
Rey,112,2020-5,5/27/2020,812,12,108,9.3,POINT (-58.25 -42.25)
Rey,112,2020-5,5/28/2020,6654,12,108,12.5,POINT (-59.75 -42.75)
Rey,112,2020-5,5/29/2020,56457,12,108,11.1,POINT (-59.75 -42.75)
Rey,112,2020-5,5/30/2020,49938,12,108,11.3,POINT (-59.75 -42.75)
Rey,112,2020-5,5/31/2020,33087,12,108,11.4,POINT (-59.75 -42.75)
Rey,112,2020-5,6/1/2020,50184,12,108,11.5,POINT (-59.75 -42.25)
Rey,112,2020-5,6/2/2020,27687,12,108,11.1,POINT (-59.75 -42.25)
Rey,112,2020-6,6/8/2020,32447,12,108,11.5,POINT (-59.75 -42.75)
Rey,112,2020-6,6/9/2020,20910,12,108,11.4,POINT (-59.75 -42.75)
Rey,112,2020-6,6/10/2020,8610,12,108,10.7,POINT (-60.25 -42.75)
Rey,112,2020-6,6/11/2020,16605,12,108,10.5,POINT (-59.75 -42.75)
Rey,112,2020-6,6/12/2020,28081,12,108,10.7,POINT (-60.25 -42.75)
Rey,112,2020-6,6/13/2020,6654,12,108,11.3,POINT (-60.25 -42.75)
Rey,112,2020-6,6/15/2020,7995,12,108,10.9,POINT (-60.25 -42.75)
Rey,112,2020-6,6/16/2020,27490,12,108,10.9,POINT (-60.25 -42.75)
Rey,112,2020-6,6/17/2020,9348,12,108,11.9,POINT (-59.25 -41.75)
Rey,112,2020-6,6/18/2020,17281,12,108,11.8,POINT (-59.75 -41.75)
Rey,112,2020-6,6/19/2020,23370,12,108,11.4,POINT (-59.75 -41.75)
Rey,112,2020-6,6/20/2020,17257,12,108,11.5,POINT (-59.25 -41.75)
Rey,112,2020-6,6/21/2020,31758,12,108,11.2,POINT (-59.25 -41.75)
Rey,112,2020-6,6/22/2020,37392,12,108,11,POINT (-59.75 -41.75)
Rey,112,2020-6,6/23/2020,24846,12,108,11.4,POINT (-59.25 -41.75)
Rey,112,2020-6,6/24/2020,11980,12,108,11.6,POINT (-59.75 -41.75)
Rey,112,2020-6,6/25/2020,30381,12,108,11.8,POINT (-59.75 -41.75)
Rey,112,2020-6,6/26/2020,4920,12,108,10.6,POINT (-58.75 -41.75)
Rey,112,2020-6,6/27/2020,5461,12,108,10.9,POINT (-59.75 -41.75)
Rey,112,2020-6,6/28/2020,3333,12,108,11.4,POINT (-59.75 -41.75)
Rey,112,2020-6,6/29/2020,18450,12,108,11.2,POINT (-60.25 -41.75)
Rey,112,2020-6,6/30/2020,1673,12,108,10.7,POINT (-60.25 -41.75)
Korbin,113,2020-1,1/11/2020,27896,12,104,14.2,POINT (-62.25 -44.75)
Korbin,113,2020-1,1/12/2020,31033,12,104,14.4,POINT (-61.75 -44.75)
Korbin,113,2020-1,1/13/2020,20369,12,104,14.9,POINT (-61.75 -44.75)
Korbin,113,2020-1,1/14/2020,26543,12,104,14.8,POINT (-61.75 -44.75)
Korbin,113,2020-1,1/17/2020,8512,12,104,13.8,POINT (-62.25 -44.25)
Korbin,113,2020-1,1/18/2020,57835,12,104,15,POINT (-63.75 -44.75)
Korbin,113,2020-1,1/19/2020,26076,12,104,15.2,POINT (-63.75 -44.75)
Korbin,113,2020-1,1/20/2020,49175,12,104,15.3,POINT (-63.75 -44.75)
Korbin,113,2020-1,1/21/2020,44182,12,104,15.8,POINT (-63.75 -44.75)
Korbin,113,2020-1,1/22/2020,7786,12,104,16,POINT (-63.75 -44.75)
Korbin,113,2020-1,1/23/2020,11304,12,104,16.3,POINT (-63.25 -44.75)
Korbin,113,2020-1,1/24/2020,50959,12,104,15.3,POINT (-62.75 -45.25)
Korbin,113,2020-1,1/25/2020,16433,12,104,14.7,POINT (-62.25 -45.25)
Korbin,113,2020-1,1/26/2020,33013,12,104,14.3,POINT (-62.25 -45.25)
Korbin,113,2020-1,1/27/2020,16925,12,104,14.2,POINT (-62.25 -45.75)
Korbin,113,2020-1,1/28/2020,27392,12,104,14.4,POINT (-62.25 -45.75)
Korbin,113,2020-1,1/29/2020,21845,12,104,14.5,POINT (-62.75 -45.25)
Korbin,113,2020-2,2/2/2020,58007,12,104,15.4,POINT (-62.75 -45.75)
Korbin,113,2020-2,2/3/2020,51365,12,104,14.7,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/4/2020,24022,12,104,14.9,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/5/2020,46568,12,104,15,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/6/2020,14588,12,104,15.5,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/7/2020,58007,12,104,15.2,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/8/2020,26027,12,104,15.6,POINT (-62.75 -45.25)
Korbin,113,2020-2,2/9/2020,56740,12,104,15.7,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/10/2020,18893,12,104,15.5,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/11/2020,12890,12,104,15.6,POINT (-62.25 -45.75)
Korbin,113,2020-2,2/12/2020,28782,12,104,15.9,POINT (-62.25 -45.25)
Korbin,113,2020-2,2/13/2020,37687,12,104,15.5,POINT (-62.25 -45.75)
Korbin,113,2020-2,2/14/2020,20615,12,104,15.4,POINT (-62.25 -45.75)
Korbin,113,2020-2,2/15/2020,31119,12,104,15.3,POINT (-62.75 -45.75)
Korbin,113,2020-2,2/16/2020,23616,12,104,15.5,POINT (-62.25 -45.75)
Korbin,113,2020-2,2/17/2020,54858,12,104,15.4,POINT (-62.25 -45.75)
Korbin,113,2020-2,2/18/2020,38819,12,104,15.3,POINT (-62.25 -45.75)
Korbin,113,2020-3,2/22/2020,17220,12,104,14.8,POINT (-62.75 -45.25)
Korbin,113,2020-3,2/23/2020,9594,12,104,14.5,POINT (-62.25 -45.75)
Korbin,113,2020-3,2/24/2020,19631,12,104,14.6,POINT (-62.25 -45.75)
Korbin,113,2020-3,2/25/2020,7921,12,104,14.7,POINT (-62.75 -45.75)
Korbin,113,2020-3,2/26/2020,5535,12,104,14.4,POINT (-62.25 -45.25)
Korbin,113,2020-3,2/27/2020,5314,12,104,14.5,POINT (-62.25 -44.75)
Korbin,113,2020-3,2/28/2020,11291,12,104,14.6,POINT (-62.25 -45.75)
Korbin,113,2020-3,2/29/2020,3567,12,104,14.8,POINT (-62.75 -45.75)
